CODIGO_UPZ,UPZ,LOCALIDAD,JOVENES_TOTAL,GRUPO_A,GRUPO_B,GRUPO_C,GRUPO_D,BENEFICIARIOS_RUTA_CORTA,TASA_COBERTURA,BRECHA_ABSOLUTA,PRIORIDAD_EXPANSION
98,LOS ALCAZARES,Barrios Unidos,1736,144,633,809,150,638,36.8,1098,Alta
19,EL PRADO,Suba,1680,100,532,832,216,622,37.0,1058,Alta
64,MONTE BLANCO,Ciudad Bolivar,1469,242,662,504,61,524,35.7,945,Alta
94,LA CANDELARIA,Santa Fe,1300,198,501,511,90,454,34.9,846,Alta
24,NIZA,Suba,1036,52,324,469,191,337,32.5,699,Alta
23,CASA BLANCA SUBA,Suba,951,48,270,501,132,266,28.0,685,Alta
10,LA URIBE,Usaquen,975,80,258,463,174,292,29.9,683,Alta
92,LA MACARENA,Santa Fe,1009,127,457,360,65,353,35.0,656,Alta
116,ALAMOS,Engativa,821,32,145,376,268,202,24.6,619,Critica
17,SAN JOSE DE BAVARIA,Suba,869,45,258,449,117,311,35.8,558,Alta
93,LAS NIEVES,Santa Fe,736,120,326,238,52,283,38.5,453,Alta
14,USAQUEN,Usaquen,688,37,166,388,97,245,35.6,443,Alta
113,BAVARIA,Kennedy,520,9,112,281,118,106,20.4,414,Critica
100,GALERIAS,Teusaquillo,582,50,174,276,82,220,37.8,362,Alta
108,ZONA INDUSTRIAL,Puente Aranda,606,73,220,271,42,246,40.6,360,Alta
21,LOS ANDES,Barrios Unidos,520,39,175,264,42,196,37.7,324,Alta
115,CAPELLANIA,Fontibon,455,50,149,188,68,175,38.5,280,Alta
101,TEUSAQUILLO,Teusaquillo,372,26,111,171,64,144,38.7,228,Alta
60,PARQUE ENTRENUBES,Usme,330,140,136,47,7,122,37.0,208,Alta
111,PUENTE ARANDA,Puente Aranda,319,57,115,135,12,111,34.8,208,Alta
1,PASEO DE LOS LIBERTADORES,Usaquen,298,30,109,139,20,103,34.6,195,Alta
112,GRANJAS DE TECHO,Fontibon,251,8,53,125,65,97,38.6,154,Alta
25,LA FLORESTA,Suba,200,12,45,102,41,58,29.0,142,Alta
107,QUINTA PAREDES,Teusaquillo,195,9,47,100,39,58,29.7,137,Alta
114,MODELIA,Fontibon,202,8,45,91,58,68,33.7,134,Alta
99,CHAPINERO,Chapinero,203,19,58,82,44,83,40.9,120,Alta
91,SAGRADO CORAZON,Santa Fe,117,15,47,48,7,50,42.7,67,Alta
110,CIUDAD SALITRE OCCIDENTAL,Fontibon,84,0,5,35,44,25,29.8,59,Alta
105,JARDIN BOTANICO,Engativa,78,6,31,34,7,28,35.9,50,Alta
117,AEROPUERTO EL DORADO,Fontibon,52,3,18,28,3,6,11.5,46,Critica
106,LA ESMERALDA,Teusaquillo,64,2,4,32,26,20,31.2,44,Alta
103,PARQUE SALITRE,Barrios Unidos,46,1,14,28,3,15,32.6,31,Alta
13,LOS CEDROS,Usaquen,249,0,55,132,62,221,88.8,28,Baja
20,LA ALHAMBRA,Suba,27,0,5,16,6,12,44.4,15,Alta
2,LA ACADEMIA,Suba,10,3,3,4,0,1,10.0,9,Critica
109,CIUDAD SALITRE ORIENTAL,Teusaquillo,12,0,2,3,7,5,41.7,7,Alta
16,SANTA BARBARA,Usaquen,14,0,2,4,8,7,50.0,7,Media
104,PARQUE SIMON BOLIVAR - CAN,Teusaquillo,4,0,1,2,1,1,25.0,3,Alta
63,EL MOCHUELO,Ciudad Bolivar,12,7,4,0,1,11,91.7,1,Baja
3,GUAYMARAL,Suba,0,0,0,0,0,0,,0,Critica
15,COUNTRY CLUB,Usaquen,7,1,4,2,0,12,171.4,-5,Cobertura completa
97,CHICO LAGO,Chapinero,16,0,6,10,0,56,350.0,-40,Cobertura completa
88,EL REFUGIO,Chapinero,0,0,0,0,0,64,inf,-64,Cobertura completa
